day_1,day_2,day_3,day_4,day_5
255.1196911357049,254.5506224113276,252.59082330148374,253.7091693100557,253.0771107982559
252.93238409138922,252.1442195148303,250.26067650711656,251.36314903164103,250.75284093809137
252.51163593437755,251.9578501197774,250.31330963843186,251.10434786296491,250.77863895073116
251.54252516307776,250.99661847349932,249.54363291738557,250.1206383837866,249.91701989876375
252.5088127012802,252.1408849308403,250.8342753682751,251.3243079701764,251.03548834346495
251.27876893223075,250.55074210149596,249.29635514910692,249.93876311488867,249.42666320122626
250.78640284174895,250.0873213523875,248.9943700374414,249.4924042004937,248.8936843264687
249.61781480744412,248.8071868022354,247.86298818216983,248.31768715760245,247.76238169457488
246.60367497611088,245.63287170537768,245.03990632942617,245.36703406033388,244.82313676369978
252.1724302394283,251.97218955114695,251.3969342011813,251.3414058155161,250.85470059547953
252.0249163100905,251.19716165104109,250.04546980256902,250.6693394979614,249.8349660858087
254.7176180894623,254.2049564100305,252.79565894567355,253.58715090409726,252.6063078707678
252.43450837509243,251.4637483171107,249.7517167200624,250.93258437791576,249.9606071607671
256.1780218345819,256.12471890561847,254.1683984222696,255.16411384423702,254.55693147304518
255.33633106317683,254.89242807349154,252.55239276115827,253.98255478235984,253.4369001671651
256.6802980494055,256.5544265064392,254.17306539943058,255.5905156695687,255.06965797160422
258.22148803343646,258.3353248251127,255.66345879408453,257.1709500340782,256.63617783013376
260.6888353137857,261.0456718113431,257.8422601284818,259.7316296555215,259.1756760012216
260.4985551647229,260.58993572987464,257.0265474228477,259.36013683308363,258.6712031381972
259.40616561554623,259.4254385027109,255.91703121983028,258.1687540723676,257.7339257604953
259.8795036911217,260.3756508973589,257.11238955368344,258.9397127717082,258.7770095602215
260.95772665993485,261.5415741453219,258.2559141921238,260.1680136264475,259.9923033767622
260.06239445967964,260.2867118526664,257.1085652251765,259.16209279300307,258.81214872930843
259.4695227113564,259.7179960324263,256.9004094012472,258.695639949165,258.1960069143076
257.06785881327255,257.07416787499017,254.6893497478623,256.3041526540572,255.7651744089677
255.7183461906026,255.82558583555132,254.13668026267564,255.23699935175085,254.72317092802882
